PeakID (cmd=annotatePeaks.pl MYC_Cluster2_peaks.bed hg38 -d MYC_VEH_TagDir)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	MYC_VEH_TagDir Tag Count in given bp (58211597.5 Total, normalization factor = 0.17, effective total = 10000000)
1	chr16	88811142	88812524	+	443.0	NA	promoter-TSS (NM_000485)	promoter-TSS (NM_000485)	95	NM_001030018	353		NM_000485	ENSG00000198931	APRT	AMP|APRTD	adenine phosphoribosyltransferase	protein-coding	442.78
1-2	chr14	49633860	49635242	+	426.7	NA	promoter-TSS (NM_001378453)	promoter-TSS (NM_001378453)	-565	NM_001378453	55172		NM_018139	ENSG00000165506	DNAAF2	C14orf104|CILD10|KTU|PF13	dynein axonemal assembly factor 2	protein-coding	426.38
1-3	chr7	100100286	100101668	+	415.2	NA	promoter-TSS (NM_001363671)	promoter-TSS (NM_001363671)	-197	NM_182776	4176		NM_005916	ENSG00000166508	MCM7	CDC47|MCM2|P1.1-MCM3|P1CDC47|P85MCM|PNAS146|PPP1R104	minichromosome maintenance complex component 7	protein-coding	415.04
1-4	chr7	100081186	100082568	+	357.1	NA	promoter-TSS (NM_001318137)	promoter-TSS (NM_001318137)	75	NM_001371213	7551		NM_017715	ENSG00000166526	ZNF3	A8-51|HF.12|KOX25|PP838|Zfp113	zinc finger protein 3	protein-coding	357.15
1-5	chr19	4374564	4375946	+	349.0	NA	intron (NM_001199943, intron 1 of 8)	intron (NM_001199943, intron 1 of 8)	25292	NM_003025	6455		NM_003025	ENSG00000141985	SH3GL1	CNSA1|EEN|SH3D2B|SH3P8	SH3 domain containing GRB2 like 1, endophilin A2	protein-coding	348.90
1-6	chr16	87806302	87807684	+	341.3	NA	Intergenic	Intergenic	27667	NR_106833	102465464		NR_106833	ENSG00000278598	MIR6775	hsa-mir-6775	microRNA 6775	ncRNA	341.08
1-7	chr16	87868553	87869935	+	333.6	NA	exon (NM_003486, exon 1 of 10)	exon (NM_003486, exon 1 of 10)	263	NM_003486	8140		NM_003486	ENSG00000103257	SLC7A5	4F2LC|CD98|D16S469E|E16|LAT1|MPE16	solute carrier family 7 member 5	protein-coding	333.35
1-8	chr14	49598246	49599628	+	298.3	NA	promoter-TSS (NM_152329)	promoter-TSS (NM_152329)	-3	NM_152329	122769		NM_152329	ENSG00000165501	LRR1	4-1BBLRR|LRR-1|PPIL5	leucine rich repeat protein 1	protein-coding	298.22
1-9	chr8	123274034	123275416	+	294.2	NA	promoter-TSS (NR_037874)	promoter-TSS (NR_037874)	-238	NM_001017926	11244		NM_007222	ENSG00000165156	ZHX1	-	zinc fingers and homeoboxes 1	protein-coding	294.01
1-10	chr3	186783060	186784442	+	291.8	NA	intron (NM_001967, intron 1 of 10)	CpG	174	NM_001967	1974		NM_001967	ENSG00000156976	EIF4A2	BM-010|DDX2B|EIF4A|EIF4F|NEDHSS|eIF-4A-II|eIF4A-II	eukaryotic translation initiation factor 4A2	protein-coding	291.44
