PeakID (cmd=annotatePeaks.pl MYC_Cluster3_peaks.bed hg38 -d MYC_VEH_TagDir)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	MYC_VEH_TagDir Tag Count in given bp (58211597.5 Total, normalization factor = 0.17, effective total = 10000000)
1	chr12	109097335	109098717	+	340.6	NA	promoter-TSS (NM_003362)	promoter-TSS (NM_003362)	-146	NM_003362	7374		NM_003362	ENSG00000076248	UNG	DGU|HIGM4|HIGM5|UDG|UNG1|UNG15|UNG2	uracil DNA glycosylase	protein-coding	340.57
1-2	chr21	42375758	42377140	+	300.6	NA	intron (NM_024022, intron 11 of 12)	intron (NM_024022, intron 11 of 12)	-9914	NM_003225	7031		NM_003225	ENSG00000160182	TFF1	BCEI|D21S21|HP1.A|HPS2|pNR-2|pS2	trefoil factor 1	protein-coding	300.54
1-3	chr10	102713914	102715296	+	262.7	NA	promoter-TSS (NR_146992)	promoter-TSS (NR_146992)	-31	NM_178858	118980		NM_178858	ENSG00000156398	SFXN2	SLC56A2	sideroflexin 2	protein-coding	262.66
1-4	chr8	90644954	90646336	+	257.9	NA	exon (NM_001008495, exon 1 of 3)	exon (NM_001008495, exon 1 of 3)	260	NM_001146273	169200		NM_001008495	ENSG00000180694	TMEM64	-	transmembrane protein 64	protein-coding	257.77
1-5	chr10	43027064	43027149	+	248.1	NA	Intergenic	L1MC4a|LINE|L1	29543	NR_049836	100847014		NR_049836	ENSG00000263795	MIR5100	-	microRNA 5100	ncRNA	2.92
1-6	chr2	11538961	11540343	+	248.0	NA	promoter-TSS (NM_148903)	promoter-TSS (NM_148903)	-167	NM_148903	9687		NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding	247.97
1-7	chr11	76788028	76789410	+	242.0	NA	intron (NM_001318478, intron 1 of 1)	MIRb|SINE|MIR	-3033	NM_001318477	25987		NM_015516	ENSG00000182704	TSKU	E2IG4|LRRC54|TSK	tsukushi, small leucine rich proteoglycan	protein-coding	242.05
1-8	chr2	11482677	11484059	+	227.7	NA	Intergenic	Intergenic	-17191	NM_001278278	1876		NM_198256	ENSG00000169016	E2F6	E2F-6	E2F transcription factor 6	protein-coding	227.70
1-9	chr6	125153545	125154927	+	223.9	NA	promoter-TSS (NM_001292026)	promoter-TSS (NM_001292026)	-10	NM_001003395	7164		NM_003287	ENSG00000111907	TPD52L1	D53|TPD53	TPD52 like 1	protein-coding	223.92
1-10	chr2	72115124	72116506	+	223.5	NA	Intergenic	Intergenic	32047	NM_019885	56603		NM_019885	ENSG00000003137	CYP26B1	CYP26A2|P450RAI-2|P450RAI2|RHFCA	cytochrome P450 family 26 subfamily B member 1	protein-coding	223.41
1-11	chr2	11465293	11466675	+	222.5	NA	non-coding (NR_103490, exon 1 of 5)	non-coding (NR_103490, exon 1 of 5)	177	NR_103490	1876		NM_198256	ENSG00000169016	E2F6	E2F-6	E2F transcription factor 6	protein-coding	222.46
1-12	chr6	39228737	39230119	+	207.4	NA	promoter-TSS (NM_003740)	promoter-TSS (NM_003740)	47	NM_003740	8645		NM_003740	ENSG00000164626	KCNK5	K2p5.1|KCNK5b|TASK-2|TASK2	potassium two pore domain channel subfamily K member 5	protein-coding	207.43
1-13	chr6	135181839	135183221	+	205.5	NA	intron (NR_134961, intron 1 of 15)	CpG	1222	NM_001161660	4602		NM_005375	ENSG00000118513	MYB	Cmyb|c-myb|c-myb_CDS|efg	MYB proto-oncogene, transcription factor	protein-coding	205.46
