PeakID (cmd=annotatePeaks.pl MYC_Cluster1_peaks.bed hg38 -d MYC_VEH_TagDir)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	MYC_VEH_TagDir Tag Count in given bp (58211597.5 Total, normalization factor = 0.17, effective total = 10000000)
1	chr12	110468133	110469515	+	386.1	NA	promoter-TSS (NM_001164373)	promoter-TSS (NM_001164373)	-21	NM_013300	29902		NM_013300	ENSG00000204856	FAM216A	C12orf24|HSU79274	family with sequence similarity 216 member A	protein-coding	385.83
1-2	chr14	64387365	64388747	+	376.1	NA	promoter-TSS (NM_005956)	promoter-TSS (NM_005956)	-297	NM_005956	4522		NM_005956	ENSG00000100714	MTHFD1	CIMAH|MTHFC|MTHFD	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1	protein-coding	376.04
1-3	chr14	64338031	64339362	+	337.0	NA	promoter-TSS (NM_001291723)	promoter-TSS (NM_001291723)	-83	NM_001291712	2100		NM_001437	ENSG00000140009	ESR2	ER-BETA|ESR-BETA|ESRB|ESTRB|Erb|NR3A2|ODG8	estrogen receptor 2	protein-coding	328.46
1-4	chr5	177311716	177313098	+	335.7	NA	promoter-TSS (NM_001142935)	promoter-TSS (NM_001142935)	-509	NM_001142935	83463		NM_031300	ENSG00000213347	MXD3	BHLHC13|MAD3|MYX	MAX dimerization protein 3	protein-coding	335.59
1-5	chr11	65116630	65118012	+	332.6	NA	exon (NM_014205, exon 1 of 1)	exon (NM_014205, exon 1 of 1)	380	NM_014205	741		NM_014205	ENSG00000174276	ZNHIT2	C11orf5|FON	zinc finger HIT-type containing 2	protein-coding	332.41
1-6	chr12	49130014	49131396	+	327.0	NA	intron (NM_006082, intron 1 of 3)	CpG	690	NM_006082	10376		NM_006082	ENSG00000123416	TUBA1B	K-ALPHA-1	tubulin alpha 1b	protein-coding	327.00
1-7	chr1	200669176	200670558	+	323.3	NA	promoter-TSS (NM_001349802)	promoter-TSS (NM_001349802)	40	NM_001031725	83479		NM_031306	ENSG00000118197	DDX59	OFD5|ZNHIT5	DEAD-box helicase 59	protein-coding	323.13
1-8	chr17	51166022	51167404	+	311.0	NA	promoter-TSS (NM_001018138)	promoter-TSS (NM_001018138)	-9	NM_001018138	4831		NM_002512	ENSG00000243678	NME2	NDKB|NDPK-B|NDPKB|NM23-H2|NM23B|PUF	NME/NM23 nucleoside diphosphate kinase 2	protein-coding	311.02
1-9	chr17	51153035	51154417	+	308.9	NA	intron (NM_001018136, intron 1 of 7)	CpG	167	NM_198175	4830		NM_000269	ENSG00000239672	NME1	AWD|GAAD|NB|NBS|NDKA|NDPK-A|NDPKA|NM23|NM23-H1	NME/NM23 nucleoside diphosphate kinase 1	protein-coding	308.87
1-10	chr6	136289164	136290546	+	307.2	NA	promoter-TSS (NM_001077440)	promoter-TSS (NM_001077440)	-4	NM_001077440	9774		NM_014739	ENSG00000029363	BCLAF1	BTF|bK211L9.1	BCL2 associated transcription factor 1	protein-coding	307.16
1-11	chr5	43483272	43484654	+	295.7	NA	promoter-TSS (NM_001377400)	promoter-TSS (NM_001377400)	-98	NM_001377398	64417		NM_022483	ENSG00000151881	TMEM267	C5orf28	transmembrane protein 267	protein-coding	295.65
1-12	chr19	36114377	36115759	+	295.2	NA	promoter-TSS (NM_001300971)	promoter-TSS (NM_001300971)	82	NR_155756	1155		NM_001281	ENSG00000105254	TBCB	CG22|CKAP1|CKAPI	tubulin folding cofactor B	protein-coding	295.04
1-13	chr3	99817114	99818496	+	293.5	NA	promoter-TSS (NM_032359)	promoter-TSS (NM_032359)	-57	NM_032359	84319		NM_032359	ENSG00000184220	CMSS1	C3orf26	cms1 ribosomal small subunit homolog	protein-coding	293.50
1-14	chr12	123232585	123233967	+	293.4	NA	promoter-TSS (NM_152269)	promoter-TSS (NM_152269)	-135	NM_022782	10198		NM_022782	ENSG00000051825	MPHOSPH9	MPP-9|MPP9	M-phase phosphoprotein 9	protein-coding	293.24
1-15	chr6	152982611	152983993	+	264.4	NA	promoter-TSS (NM_012177)	promoter-TSS (NM_012177)	-261	NM_012177	26271		NM_012177	ENSG00000112029	FBXO5	EMI1|FBX5|Fbxo31	F-box protein 5	protein-coding	264.21
1-16	chr14	64503367	64504749	+	246.0	NA	promoter-TSS (NM_001354682)	promoter-TSS (NM_001354682)	-94	NM_001354682	7597		NM_006977	ENSG00000089775	ZBTB25	C14orf51|KUP|ZNF46	zinc finger and BTB domain containing 25	protein-coding	245.74
1-17	chr19	41396758	41398140	+	242.2	NA	promoter-TSS (NM_000709)	promoter-TSS (NM_000709)	-90	NM_020158	56915		NM_020158	ENSG00000077348	EXOSC5	CABAC|RRP41B|RRP46|Rrp46p|hRrp46p|p12B	exosome component 5	protein-coding	242.22
1-18	chr21	46323615	46324997	+	239.0	NA	promoter-TSS (NM_001315529)	promoter-TSS (NM_001315529)	150	NM_006031	5116		NM_006031	ENSG00000160299	PCNT	KEN|MOPD2|PCN|PCNT2|PCNTB|PCTN2|SCKL4	pericentrin	protein-coding	238.78
